==14432== NVPROF is profiling process 14432, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14432== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14432== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14432== Profiling result:
==14432== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce GTX 1050 Ti (0)"
    Kernel: brute_force_AL(float const *, unsigned char, float*)
          8                            gst_throughput                                               Global Store Throughput  52.166MB/s  52.620MB/s  52.401MB/s
          8                     local_memory_overhead                                                 Local Memory Overhead       0.00%       0.00%       0.00%
          8                        tex_cache_hit_rate                                                Unified Cache Hit Rate      54.75%      54.81%      54.77%
          8                      l2_tex_read_hit_rate                                           L2 Hit Rate (Texture Reads)       0.78%       0.78%       0.78%
          8                     l2_tex_write_hit_rate                                          L2 Hit Rate (Texture Writes)      99.52%     100.19%      99.92%
          8                      tex_cache_throughput                                              Unified Cache Throughput  7.9848GB/s  8.0513GB/s  8.0391GB/s
          8                    l2_tex_read_throughput                                         L2 Throughput (Texture Reads)  6.5018GB/s  6.5602GB/s  6.5485GB/s
          8                   l2_tex_write_throughput                                        L2 Throughput (Texture Writes)  52.207MB/s  52.824MB/s  52.439MB/s
          8                        l2_read_throughput                                                 L2 Throughput (Reads)  7.9882GB/s  8.0658GB/s  8.0448GB/s
          8                       l2_write_throughput                                                L2 Throughput (Writes)  1.5406GB/s  1.5513GB/s  1.5459GB/s
          8                    sysmem_read_throughput                                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          8                   sysmem_write_throughput                                        System Memory Write Throughput  258.06KB/s  260.37KB/s  259.91KB/s
          8                     local_load_throughput                                          Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          8                    local_store_throughput                                         Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          8                    shared_load_throughput                                         Shared Memory Load Throughput  15.037GB/s  18.917GB/s  15.598GB/s
          8                   shared_store_throughput                                        Shared Memory Store Throughput  19.508GB/s  26.999GB/s  20.630GB/s
          8                            gld_efficiency                                         Global Memory Load Efficiency      99.32%      99.32%      99.32%
          8                            gst_efficiency                                        Global Memory Store Efficiency      12.52%      12.74%      12.61%
          8                    tex_cache_transactions                                            Unified Cache Transactions      161946      162274      162164
          8                             flop_count_dp                           Floating Point Operations(Double Precision)           0           0           0
          8                         flop_count_dp_add                       Floating Point Operations(Double Precision Add)           0           0           0
