==15752== NVPROF is profiling process 15752, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==15752== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==15752== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==15752== Profiling result:
==15752== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce GTX 1050 Ti (0)"
    Kernel: brute_force(unsigned char, unsigned char, bool, float*, unsigned long*)
          7                        tex_cache_hit_rate                                                Unified Cache Hit Rate      25.00%      25.00%      25.00%
          7                      l2_tex_read_hit_rate                                           L2 Hit Rate (Texture Reads)       0.00%       0.00%       0.00%
          7                     l2_tex_write_hit_rate                                          L2 Hit Rate (Texture Writes)     100.00%     100.00%     100.00%
          7                      tex_cache_throughput                                              Unified Cache Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          7                    l2_tex_read_throughput                                         L2 Throughput (Texture Reads)  0.00000B/s  0.00000B/s  0.00000B/s
          7                   l2_tex_write_throughput                                        L2 Throughput (Texture Writes)  19.832MB/s  19.983MB/s  19.888MB/s
          7                        l2_read_throughput                                                 L2 Throughput (Reads)  1.2396MB/s  13.844MB/s  3.7290MB/s
          7                       l2_write_throughput                                                L2 Throughput (Writes)  19.999MB/s  20.152MB/s  20.056MB/s
          7                    sysmem_read_throughput                                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          7                   sysmem_write_throughput                                        System Memory Write Throughput  66.104KB/s  66.608KB/s  66.291KB/s
          7                     local_load_throughput                                          Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          7                    local_store_throughput                                         Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          7                    shared_load_throughput                                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          7                   shared_store_throughput                                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          7                            gld_efficiency                                         Global Memory Load Efficiency       0.00%       0.00%       0.00%
          7                            gst_efficiency                                        Global Memory Store Efficiency     100.00%     100.00%     100.00%
          7                    tex_cache_transactions                                            Unified Cache Transactions           0           0           0
          7                             flop_count_dp                           Floating Point Operations(Double Precision)      479232      479232      479232
          7                         flop_count_dp_add                       Floating Point Operations(Double Precision Add)      114688      114688      114688
          7                         flop_count_dp_fma                       Floating Point Operations(Double Precision FMA)      167936      167936      167936
          7                         flop_count_dp_mul                       Floating Point Operations(Double Precision Mul)       28672       28672       28672
          7                             flop_count_sp                           Floating Point Operations(Single Precision)    60293120    60293120    60293120
          7                         flop_count_sp_add                       Floating Point Operations(Single Precision Add)    60293120    60293120    60293120
          7                         flop_count_sp_fma                       Floating Point Operations(Single Precision FMA)           0           0           0
          7                         flop_count_sp_mul                        Floating Point Operation(Single Precision Mul)           0           0           0
          7                     flop_count_sp_special                   Floating Point Operations(Single Precision Special)        4096        4096        4096
          7                             inst_executed                                                 Instructions Executed    56477696    56477696    56477696
          7                               inst_issued                                                   Instructions Issued    56477939    56477993    56477967
          7                        sysmem_utilization                                             System Memory Utilization     Low (1)     Low (1)     Low (1)
          7                          stall_inst_fetch                              Issue Stall Reasons (Instructions Fetch)      21.31%      21.32%      21.31%
          7                     stall_exec_dependency                            Issue Stall Reasons (Execution Dependency)      33.17%      33.18%      33.17%
          7                   stall_memory_dependency                                    Issue Stall Reasons (Data Request)       0.00%       0.00%       0.00%
          7                             stall_texture                                         Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
          7                                stall_sync                                 Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
          7                               stall_other                                           Issue Stall Reasons (Other)      29.70%      29.71%      29.70%
          7          stall_constant_memory_dependency                              Issue Stall Reasons (Immediate constant)       0.01%       0.01%       0.01%
          7                           stall_pipe_busy                                       Issue Stall Reasons (Pipe Busy)       3.69%       3.70%       3.70%
          7                         shared_efficiency                                              Shared Memory Efficiency       0.00%       0.00%       0.00%
          7                                inst_fp_32                                               FP Instructions(Single)    61349888    61349888    61349888
          7                                inst_fp_64                                               FP Instructions(Double)      311296      311296      311296
          7                              inst_integer                                                  Integer Instructions  1068093440  1068093440  1068093440
          7                          inst_bit_convert                                              Bit-Convert Instructions    10489856    10489856    10489856
          7                              inst_control                                             Control-Flow Instructions    95965184    95965184    95965184
          7                        inst_compute_ld_st                                               Load/Store Instructions    60305408    60305408    60305408
          7                                 inst_misc                                                     Misc Instructions    60395520    60395520    60395520
          7           inst_inter_thread_communication                                             Inter-Thread Instructions           0           0           0
          7                               issue_slots                                                           Issue Slots    50153203    50153257    50153231
          7                                 cf_issued                                      Issued Control-Flow Instructions     9667712     9667712     9667712
          7                               cf_executed                                    Executed Control-Flow Instructions     9667712     9667712     9667712
          7                               ldst_issued                                        Issued Load/Store Instructions     4261760     4261760     4261760
          7                             ldst_executed                                      Executed Load/Store Instructions     4260480     4260480     4260480
          7                       atomic_transactions                                                   Atomic Transactions           0           0           0
          7           atomic_transactions_per_request                                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
          7                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          7                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)           0           0           0
          7                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)           0           0           0
          7                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.00%       0.00%       0.00%
          7                        stall_not_selected                                    Issue Stall Reasons (Not Selected)      12.10%      12.11%      12.11%
          7                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)        1536        1536        1536
          7                             flop_count_hp                             Floating Point Operations(Half Precision)           0           0           0
          7                         flop_count_hp_add                         Floating Point Operations(Half Precision Add)           0           0           0
          7                         flop_count_hp_mul                          Floating Point Operation(Half Precision Mul)           0           0           0
          7                         flop_count_hp_fma                         Floating Point Operations(Half Precision FMA)           0           0           0
          7                                inst_fp_16                                                 HP Instructions(Half)           0           0           0
          7                   sysmem_read_utilization                                        System Memory Read Utilization    Idle (0)    Idle (0)    Idle (0)
          7                  sysmem_write_utilization                                       System Memory Write Utilization     Low (1)     Low (1)     Low (1)
          7               pcie_total_data_transmitted                                           PCIe Total Data Transmitted           0         512         219
          7                  pcie_total_data_received                                              PCIe Total Data Received           0         512          73
          7                inst_executed_global_loads                              Warp level instructions for global loads           0           0           0
          7                 inst_executed_local_loads                               Warp level instructions for local loads           0           0           0
          7                inst_executed_shared_loads                              Warp level instructions for shared loads           0           0           0
          7               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
          7               inst_executed_global_stores                             Warp level instructions for global stores         256         256         256
          7                inst_executed_local_stores                              Warp level instructions for local stores           0           0           0
          7               inst_executed_shared_stores                             Warp level instructions for shared stores           0           0           0
          7              inst_executed_surface_stores                            Warp level instructions for surface stores           0           0           0
          7              inst_executed_global_atomics                  Warp level instructions for global atom and atom cas           0           0           0
          7           inst_executed_global_reductions                         Warp level instructions for global reductions           0           0           0
          7             inst_executed_surface_atomics                 Warp level instructions for surface atom and atom cas           0           0           0
          7          inst_executed_surface_reductions                        Warp level instructions for surface reductions           0           0           0
          7              inst_executed_shared_atomics                  Warp level shared instructions for atom and atom CAS           0           0           0
          7                     inst_executed_tex_ops                                   Warp level instructions for texture           0           0           0
          7                      l2_global_load_bytes       Bytes read from L2 for misses in Unified Cache for global loads           0           0           0
          7                       l2_local_load_bytes        Bytes read from L2 for misses in Unified Cache for local loads           0           0           0
          7                     l2_surface_load_bytes      Bytes read from L2 for misses in Unified Cache for surface loads           0           0           0
          7               l2_local_global_store_bytes   Bytes written to L2 from Unified Cache for local and global stores.       49152       49152       49152
          7                 l2_global_reduction_bytes          Bytes written to L2 from Unified cache for global reductions           0           0           0
          7              l2_global_atomic_store_bytes             Bytes written to L2 from Unified cache for global atomics           0           0           0
          7                    l2_surface_store_bytes            Bytes written to L2 from Unified Cache for surface stores.           0           0           0
          7                l2_surface_reduction_bytes         Bytes written to L2 from Unified Cache for surface reductions           0           0           0
          7             l2_surface_atomic_store_bytes    Bytes transferred between Unified Cache and L2 for surface atomics           0           0           0
          7                      global_load_requests              Total number of global load requests from Multiprocessor           0           0           0
          7                       local_load_requests               Total number of local load requests from Multiprocessor           0           0           0
          7                     surface_load_requests             Total number of surface load requests from Multiprocessor           0           0           0
          7                     global_store_requests             Total number of global store requests from Multiprocessor        1536        1536        1536
